Kab/Kota,IPM_2024,RLS_2024,P0_2024,D1_SPBE,D2_SPBE,D3_SPBE,D4_SPBE,Cluster
Manggarai Barat,66.65,8.21,16.74,3.9,3.1,2.73,3.82,2
Manggarai Timur,64.2,7.96,24.9,3,1.7,1.09,3.62,0
Manokwari,73.83,8.67,18.45,2.9,1.1,1,2.05,0
Manokwari Selatan,62.45,7.17,26.83,3.2428,1.7453,1.1376,3.1503,1
Mappi,61.51,7.16,25.7,3.2456,1.7386,1.1391,3.118,1
Maros,72.11,8.05,9.32,4.4,2.4,1,3.99,0
Mataram,80.6,9.58,8,3.3,3.2,3.18,3.96,2
Maybrat,61.83,7.44,29.18,3.4476,1.7144,1.1104,3.0951,1
Medan,82.76,11.79,7.94,3.2,3.2,1.64,4.8,2
Melawi,68.66,7.66,10.62,2.7,1.3,1,3.57,0
Mempawah,68.56,7.21,4.83,3.1,1.8,1,3.76,0
Merangin,71.66,8.4,8.4,4,2.6,1.64,3.87,2
Merauke,72.73,9.37,10.19,1.2,1.4,1,3.47,0
Mesuji,66.46,7.21,6.31,4.7,4,2.18,4.44,2
Metro,78.93,11.01,6.78,2.7,3.1,2.73,3.87,2
Mimika,76.85,10.72,14.18,3,1.5,1,3.07,0
Minahasa,77.74,10.23,6.53,2,1.1,1,3.37,0
Minahasa Selatan,74.17,9.43,8.97,2.9,1.6,1,3.37,0
Minahasa Tenggara,72.66,9.14,11.72,3.3,2.3,2.91,3.37,2
Minahasa Utara,75.89,10.35,6.95,4.4,2.9,1.82,3.89,2
Mojokerto,75.98,9.13,9.37,4.5,3.8,2.82,4.75,2
Kota Mojokerto,80.92,11.38,5.57,5,3.8,3,4.88,2
Morowali,73.54,9.38,11.55,3.5,2.8,1.64,4,2
Morowali Utara,70.58,9.13,11.95,2.5,1.7,1,3.62,0
Muara Enim,71,8.27,9.79,4.3,3.2,1.36,3.75,2
Muaro Jambi,71.91,8.7,3.65,2.7,1.8,1,3.63,0
Mukomuko,70.63,8.57,10.76,2.2,1.5,1.18,2.66,0
Muna,71.05,8.71,13.78,3.1,1.7,1,2.99,0
Muna Barat,68.06,8.09,13.38,1.9,1.1,1,2.48,0
Murung Raya,70.03,7.94,6.58,3,1.8,1,3.56,0
